Date,Restaurant Name,Pay,Tip,Total,Peak Pay,Tip after Delivery
3/27,Erika's Restaurant,$5.25,$1.50,$6.75,-,-
3/27,Chick-fil-A,$4.50,$3.50,$8.00,-,-
3/27,Wendy's,$3.00,$4.00,$7.00,-,-
3/27,Annam Pho and Sandwiches,$7.00,$0.00,$7.00,-,-
3/31,Disfruta,$3.75,$1.00,$4.75,-,-
3/31,El Pollo Loco,$6.50,$11.50,$18.00,-,-
3/31,Handel's Homemade Ice Cream,$4.00,$4.00,$8.00,-,-
3/31,Denny's,$5.50,$9.50,$15.00,-,-
3/31,Graziano's Pizza,$5.75,$6.50,$12.25,-,-
3/31,Chick-fil-A,$6.50,$1.00,$7.50,-,-
3/31,Pick Up Stix,$6.50,$4.50,$11.00,-,-
3/31,The Poke Cafe,$7.75,$4.00,$11.75,-,-
3/31,Pollos Maria,$9.25,$10.50,$19.75,-,-
3/31,Valerie's Taco Shop,$5.25,$0.00,$5.25,-,-
3/31,Chick-fil-A,$4.00,$4.50,$8.50,-,-
3/31,Love Boat Sushi,$2.25,$2.00,$4.25,-,-
3/31,PanPan Wok,$3.25,$1.00,$4.25,-,-
3/31,McDonald's,$4.50,$4.00,$8.50,-,-
3/31,McDonald's,$4.00,$8.00,$12.00,-,-
3/31,McDonald's,$3.25,$2.00,$5.25,-,-
3/31,McDonald's,$3.50,$2.00,$5.50,-,-
4/5,Savory Thai,$5.50,$7.00,$12.50,-,-
4/5,Dave's Hot Chicken,$2.50,$5.00,$7.50,-,-
4/5,North Park Produce Bakery and Grill,$3.00,$2.00,$5.00,-,-
4/5,Dave's Hot Chicken,$5.00,$6.00,$11.00,-,-
4/6,Taco Bell,$5.00,$4.00,$9.00,-,-
4/6,The Draft Restaurant & Sports Bar,$5.75,$5.50,$11.25,-,-
4/6,The Meltdown,$3.75,$4.00,$7.75,-,-
4/6,Maan's Mediterranean Grill,$5.75,$8.50,$14.25,-,-
4/6,The Meltdown,$4.75,$4.00,$8.75,-,-
4/6,Maan's Mediterranean Grill,$5.75,$8.00,$13.75,-,-
4/6,Pollos Maria,$2.00,$2.50,$4.50,-,-
4/6,Enzo's BBQ Ale House,$3.50,$4.50,$8.00,-,-
4/6,Chipotle,$4.00,$3.00,$7.00,-,-
4/6,Pollos Maria,$8.50,$7.50,$16.00,-,-
4/7,The Cheesecake Factory,$3.75,$5.00,$8.75,-,-
4/7,Jack in the Box,$3.75,$1.19,$7.94,$3.00,-
4/7,Taco Bell,$3.50,$3.00,$6.50,-,-
4/7,Wild Burger,$5.00,$4.00,$9.00,-,-
4/7,Felix's BBQ With Soul,$10.50,$0.00,$15.50,-,$5.00
4/7,Jack in the Box,$3.50,$1.00,$7.50,$3.00,-
4/7,7-Eleven,$3.00,$0.00,$6.00,$3.00,-
4/7,Taco Bell,$4.00,$4.00,$8.00,-,-
4/7,Jack in the Box,$3.50,$5.00,$11.50,$3.00,-
4/7,McDonald's,$4.50,$4.00,$8.50,-,-
4/7,Umi Japanese Grill & Sushi,$3.25,$9.50,$12.75,-,-
4/7,KFC,$3.75,$0.00,$3.75,-,-
4/7,Sunshine Kitchen,$3.00,$5.50,$8.50,-,-
4/7,Chili's Grill & Bar,$5.00,$6.50,$11.50,-,-
4/7,Wendy's,$6.75,$0.00,$6.75,-,-
4/7,7-Eleven,$2.00,$2.00,$4.00,-,-
4/7,Taco Bell,$4.50,$1.00,$8.50,$3.00,-
4/7,Harney Sushi,$4.50,$6.00,$10.50,-,-
4/7,Jack in the Box,$5.75,$5.00,$10.75,-,-
4/7,7-Eleven,$3.75,$0.00,$3.75,-,-
4/7,Hooked on Sushi,$3.75,$4.50,$8.25,-,-
4/7,Wendy's,$3.00,$3.50,$6.50,-,-
4/7,Wingstop,$3.75,$2.50,$6.25,-,-
4/7,Jack in the Box,$2.00,$2.00,$7.00,$3.00,-
4/8,Carl's Jr.,$3.75,$1.00,$4.75,-,-
4/8,Crumbl Cookies,$2.50,$7.00,$9.50,-,-
4/8,Crumbl Cookies,$4.75,$2.00,$6.75,-,-
4/8,7-Eleven,$3.50,$4.00,$7.50,-,-
4/8,Mountain Mike's Pizza,$4.25,$11.00,$15.25,-,-
4/8,Taco Bell,$5.75,$5.00,$10.75,-,-
4/8,Taco Bell,$3.50,$3.00,$9.50,$3.00,-
4/8,Disfruta,$4.00,$5.50,$9.50,-,-
4/8,Sabai Sabai Thai Kitchen,$8.25,$12.00,$20.25,-,-
4/8,Firehouse Subs,$7.00,$5.00,$12.00,-,-
4/8,Love Boat Sushi,$3.75,$2.50,$6.25,-,-
4/8,Love Boat Sushi,$4.00,$3.50,$7.50,-,-
4/8,McDonald's,$3.50,$10.00,$13.50,-,-
4/8,Jack in the Box,$3.75,$2.00,$8.75,$3.00,-
4/8,Rancho Viejo Mexican Food 2,$4.50,$4.50,$9.00,-,-
4/8,Chick-fil-A,$5.50,$0.00,$5.50,-,-
4/8,The Privateer Coal Fire Pizz,$3.50,$1.00,$4.50,-,-
4/13,7-Eleven,$3.00,$4.50,$7.50,-,-
4/13,Thai Thai Oceanside Restaurant,$3.00,$6.00,$9.00,-,-
4/13,Cafe de Thai & Sushi,$6.00,$3.00,$9.00,-,-
4/13,Annam Pho and Sandwiches,$5.75,$4.00,$9.75,-,-
4/13,Chipotle,$2.25,$2.50,$4.75,-,-
4/13,Felix's BBQ With Soul,$4.50,$0.00,$4.50,-,-
4/13,McDonald's,$3.75,$3.00,$6.75,-,-
4/13,Panda Express,$3.50,$4.00,$7.50,-,-
4/13,Two Brothers From Italy Pizza,$3.00,$3.50,$6.50,-,-
4/13,Pizza Hut,$4.00,$5.00,$9.00,-,-
4/13,Panda Express,$4.00,$2.00,$6.00,-,-
4/13,Lollicup Fresh,$4.25,$1.63,$5.88,-,-
4/14,China Fusion,$4.00,$4.00,$8.00,-,-
4/14,Sizzler,$13.00,$2.50,$15.50,-,-
4/14,Enzo's BBQ Ale House,$3.75,$0.00,$3.75,-,-
4/16,7-Eleven,$4.25,$3.00,$7.25,-,-
4/16,Taco Bell,$3.00,$2.00,$5.00,-,-
4/16,Dave's Hot Chicken,$6.50,$0.00,$6.50,-,-
4/16,Jersey Mike's Subs,$3.50,$2.50,$6.00,-,-
4/16,Korea House,$6.75,$5.00,$11.75,-,-
4/16,Little Caesars Pizza,$2.00,$4.00,$6.00,-,-
4/16,Taco Bell,$2.00,$4.50,$6.50,-,-
4/16,Taco Bell,$3.00,$0.00,$3.00,-,-
4/16,Disfruta,$11.00,$8.50,$19.50,-,-
4/16,McDonald's,$5.50,$5.00,$10.50,-,-
4/16,Little Caesars Pizza,$5.00,$4.50,$9.50,-,-
4/16,Valerie's Taco Shop,$6.25,$6.00,$12.25,-,-
4/16,Valerie's Taco Shop,$4.25,$5.50,$9.75,-,-
4/17,El Bronco,$5.00,$0.00,$5.00,-,-
4/17,Applebee's Grill & Bar,$6.50,$3.00,$9.50,-,-
4/17,Brooklyn Boyz Pizza,$5.25,$12.15,$17.40,-,-
4/17,Ding Tea,$5.25,$1.32,$6.57,-,-
4/17,Hooked on Sushi,$8.25,$6.50,$14.75,-,-
4/17,Chick-fil-A,$4.50,$4.00,$8.50,-,-
4/17,Eriberto's Mexican Food,$3.50,$2.00,$5.50,-,-
4/17,Starbucks,$4.25,$2.00,$6.25,-,-
4/17,L&L Hawaiian Barbecue,$7.75,$10.00,$17.75,-,-
4/17,Annam Pho and Sandwiches,$9.00,$7.00,$16.00,-,-
4/19,Popeyes,$15.50,$5.00,$20.50,-,-
4/19,McDonald's,$4.25,$1.00,$5.25,-,-
4/19,Pick Up Stix(SOF),$3.25,$2.02,$5.27,-,-
4/19,PanPan Wok,$8.00,$7.00,$15.00,-,-
4/19,Chick-fil-A,$4.50,$3.00,$7.50,-,-
4/19,Carl's Jr.,$5.00,$2.00,$7.00,-,-
4/19,Super Mega Dilla,$6.25,$0.00,$6.25,-,-
4/19,Taco Bell,$5.50,$2.20,$7.70,-,-
4/19,Upper Crust Pizza,$5.00,$10.00,$15.00,-,-
4/19,Ding Tea,$6.00,$3.00,$9.00,-,-
4/19,Chick-fil-A,$4.75,$3.50,$8.25,-,-
4/19,Board and Brew,$6.00,$5.00,$11.00,-,-
4/19,Ohana Hawaiian BBQ,$7.75,$7.50,$15.25,-,-
4/19,The Poke Cafe,$3.50,$2.50,$6.00,-,-
4/19,PanPan Wok,$5.50,$4.00,$9.50,-,-
4/20,The Poke Cafe,$2.50,$3.00,$5.50,-,-
4/20,Chipotle,$4.00,$3.00,$7.00,-,-
4/20,Pizza Hut,$4.50,$3.50,$8.00,-,-
4/20,McDonald's,$4.00,$2.50,$6.50,-,-
4/20,The Poke Cafe,$6.75,$2.00,$8.75,-,-
4/20,La Hacienda,$8.50,$6.50,$15.00,-,-
4/20,Chick-fil-A,$6.75,$4.50,$11.25,-,-
4/20,Board and Brew,$8.00,$3.00,$11.00,-,-
4/20,7-Eleven,$4.00,$2.00,$6.00,-,-
4/20,Denny's,$2.50,$5.00,$7.50,-,-
4/20,McDonald's,$6.00,$0.00,$6.00,-,-
4/20,Ocean Thai Cuisine,$5.00,$5.50,$10.50,-,-
4/20,McDonald's,$4.75,$4.00,$8.75,-,-
4/20,The Meltdown,$3.75,$3.50,$7.25,-,-
